GEOID,no_walkshed
42003010300,100.00
42003020100,100.00
42003020300,43.82
42003030500,100.00
42003040200,100.00
42003040400,90.43
42003040500,57.10
42003040600,58.76
42003040900,92.71
42003050100,100.00
42003050600,99.58
42003050900,100.00
42003051000,100.00
42003051100,100.00
42003060300,87.09
42003060500,93.61
42003070300,63.73
42003070500,14.24
42003070600,41.33
42003070800,9.32
42003070900,73.93
42003080200,43.46
42003080400,78.78
42003080600,5.25
42003080700,0.00
42003080900,12.94
42003090100,100.00
42003090200,56.57
42003090300,0.27
42003100500,100.00
42003101100,34.04
42003101400,100.00
42003101600,75.37
42003101700,14.87
42003101800,93.55
42003110200,70.61
42003110600,92.27
42003111300,95.97
42003111400,37.68
42003111500,8.87
42003120300,100.00
42003120400,69.07
42003120700,100.00
42003120800,63.74
42003130100,100.00
42003130200,100.00
42003130300,86.33
42003130400,83.99
42003130600,92.27
42003140100,99.46
42003140200,99.16
42003140300,72.05
42003140400,98.68
42003140500,57.33
42003140600,63.13
42003140800,54.37
42003141000,100.00
42003141100,100.00
42003141300,41.84
42003141400,86.71
42003151600,100.00
42003151700,36.47
42003160800,79.20
42003160900,30.46
42003170200,55.71
42003170600,98.49
42003180300,100.00
42003180700,100.00
42003190300,100.00
42003191100,100.00
42003191400,100.00
42003191500,100.00
42003191600,92.00
42003191700,100.00
42003191800,61.97
42003191900,73.91
42003192000,91.96
42003202200,100.00
42003202300,79.51
42003210700,100.00
42003220600,96.36
42003240600,99.75
42003241200,100.00
42003250300,100.00
42003250700,99.70
42003250900,100.00
42003260200,100.00
42003260700,100.00
42003260900,100.00
42003261200,100.00
42003261400,100.00
42003261500,78.87
42003262000,100.00
42003270100,67.28
42003270300,100.00
42003270400,20.56
42003270800,86.74
42003271500,63.67
42003281400,100.00
42003281500,100.00
42003290100,57.39
42003290200,60.31
42003290400,84.45
42003300100,92.26
42003310200,100.00
42003310300,100.00
42003320400,100.00
42003320600,100.00
42003320700,100.00
42003561600,100.00
42003561700,100.00
42003561900,100.00
42003562000,59.96
42003562300,87.25
42003562400,100.00
42003562500,100.00
42003562600,100.00
42003562700,74.18
42003562800,96.18
42003562900,97.84
42003563000,100.00
42003563100,71.19
42003563200,53.50
42003980000,
42003980100,
42003980300,
42003980400,
42003980500,
42003980600,
42003980700,
42003980900,
42003981000,
42003981100,
42003981800,100.00
42003982200,100.00